1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824064841,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063165,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063653,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063356,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063622,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063608,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063271,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063233,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824065169,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063196,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063325,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824065206,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063257,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063363,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063219,BOX,Foger Switch Pro Kit 30K Puffs Disposable Pod 5ct,Foger,,Foger,5,BOX,,41.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824064667,BOX,Foger Switch Pro Kit 30k Puffs Disposable 5ct (FRO,Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,,BOX,Foger Switch Pro Kit 30k Puffs Disposable 5ct (MIA,Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,,BOX,Foger Switch Pro Kit 30k Puffs Disposable 5ct (STR,Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824064520,BOX,Foger BIT 35k Puffs Disposable 5ct (FCUKING FAB),Foger,,Foger,5,BOX,,52.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,6971824063578,BOX,Foger Switch Pro Kit 30k Puffs Disposable 5ct (SOU,Foger,,Foger,5,BOX,,52.50,1
